"cui","term","target_similarity","article_count","mgb_freq","importance_score","phenotyping_features","expanded_features","symnonym_cui","symnonym_term","acronym_cui","acronym_term"
"C0020175","Hunger","0.1897","11","0.0768","0.4394","false","true","","","",""
"C1553116","Test strip (procedure)","0.3049","2","0.0094","0.4367","false","true","","","",""
"C3539947","Antifibrinolytic amino acids","0.2108","5","0.0158","0.4352","false","true","","","",""
"C0202236","Triglycerides measurement","0.3265","7","0.535","0.4332","false","true","","","AB00trig","trig"
"C0771711","Pancreas extract","0.1805","34","0.5002","0.4323","false","true","","","",""
"C0472226","Blood glucose meters (medical device)","0.3651","3","0.0786","0.4319","false","true","","","",""
"C0376154","Skin callus","0.272","5","0.0878","0.4308","false","true","C0086501; C0406169; C0678127","Keratoma; Hyperkeratotic callus; Tyloma","",""
"C0061323","glimepiride","0.2253","3","0.007","0.4277","false","true","C0595112","Amaryl","",""
"C0020555","Hypertrichosis","0.2495","2","0.0062","0.4276","false","true","C4553009; C2196634","Hypertrichosis, CTCAE; excessive hair","",""
"C0683369","Clouded consciousness","0.2198","14","0.224","0.4275","false","true","C0009676; C0595963","Confusion; Muzzy headed","",""
"C0001948","Alcohol consumption","0.2488","17","0.8894","0.4268","false","true","C0001962; C0556297","Ethanol; Current drinker","",""
"C0085639","Falls","0.2995","10","0.7292","0.4263","false","true","C1561668","History of fall","AB00fall","fall"
"C0002726","Amyloidosis","0.2494","5","0.035","0.4262","false","true","","","",""
"C0151908","Dry skin","0.2784","8","0.3344","0.4242","false","true","C1559110; C1963094; C1562577; C0259817","Grade 1 Dry Skin, CTCAE; Dry Skin, CTCAE; C/O: dry skin; Xerosis","AB000dry","dry"
"C4303556","Aspirin therapy","0.3058","2","0.0126","0.4241","false","true","","","",""
"C3710253","CARRIERS - MAXILLOFACIAL PROSTHETICS","0.1798","6","0.0132","0.4238","false","true","","","",""
"C0041582","Ulcer","0.2722","9","0.3978","0.4232","false","true","C0030920","Peptic Ulcer","AB000ulc","ulc"
"C0021368","Inflammation","0.2772","10","0.504","0.4229","false","true","C0333348","Inflammatory","",""
"C0019045","Hemoglobinopathies","0.2262","3","0.0106","0.4227","false","true","","","",""
"C0041296","Tuberculosis","0.2872","5","0.1038","0.4221","false","true","","","AB0000tb; AB000tbc","tb; tbc"
"C4551683","Adrenal Gland Pheochromocytoma","0.2372","5","0.034","0.4213","false","true","C0031511","Pheochromocytoma","AB000pcc","pcc"
"C0555903","Total protein measurement","0.1885","35","0.729","0.4213","false","true","","","AB00prot","prot"
"C0151723","Hypomagnesemia","0.2438","5","0.0322","0.4207","false","true","C4552839","Hypomagnesemia, CTCAE","",""
"C0007876","Cesarean section","0.2139","10","0.1306","0.4206","false","true","","","",""
"C0233365","Twin birth (finding)","0.217","5","0.0282","0.42","false","true","","","",""
"C2937251","sliding scale","0.3163","4","0.1308","0.4196","false","true","","","",""
"C0585941","Antihypertensive therapy","0.2504","3","0.0128","0.4184","false","true","","","",""
"C1304680","Observation of attack","0.2149","8","0.1022","0.4177","false","true","","","",""
"C1408353","Undiagnosed","0.2291","5","0.0404","0.4172","false","true","","","",""
"C3843660","Too much","0.1972","18","0.2788","0.4165","false","true","","","",""
"C1509143","Physical assessment findings","0.1926","33","0.9548","0.4163","false","true","","","",""
"C2745965","Emergencies [Disease/Finding]","0.1746","20","0.1818","0.4162","false","true","","","",""
"C0497327","Dementia","0.2193","9","0.1366","0.4157","false","true","C0231337","Senility","",""
"C1448177","TNF protein, human","0.1736","5","0.0102","0.4151","false","true","","","AB000tnf; AB00tnfa","tnf; tnfa"
"C0000786","Spontaneous abortion","0.2822","5","0.1122","0.415","false","true","","","",""
"C0521707","Bilateral cataracts (disorder)","0.2326","7","0.1294","0.4136","false","true","C2025384","cataract of both eyes","",""
"C1882365","Phenomenon","0.1946","7","0.047","0.4131","false","true","","","",""
"C3541902","Measured Tumor Identification","0.2009","25","0.5786","0.4123","false","true","","","",""
"C0161816","Cardiac complication","0.2358","4","0.0242","0.4118","false","true","","","",""
"C1321564","strip medical device","0.4095","3","0.1728","0.4116","false","true","","","",""
"C0030286","Pancreatic Diseases","0.2489","3","0.0096","0.4112","false","true","","","",""
"C0041657","Unconscious State","0.2421","9","0.2232","0.4108","false","true","C0589402","Lack of awareness finding","AB00locs","locs"
"C0060765","Fructosamine","0.2558","2","0.0054","0.4102","false","true","","","",""
"C0151744","Myocardial Ischemia","0.279","5","0.1112","0.4102","false","true","C0010054","Coronary Arteriosclerosis","AB000ihd","ihd"
"C4039165","Increased physical activity","0.2683","3","0.018","0.4099","false","true","","","",""
"C3537249","D Vitamin","0.3441","6","0.578","0.4097","false","true","","","",""
"C2239235","Findings of placenta on examination","0.1944","10","0.087","0.4093","false","true","C0426226","Placental finding","",""
"C0106006","3-Hydroxybutyrate","0.1787","5","0.0082","0.4091","false","true","","","AB00b-hb","b-hb"
"C0424595","Undifferentiated illness","0.2099","20","0.5804","0.4091","false","true","","","AB000adr","adr"
"C5203658","Fasting (regime/therapy)","0.1747","28","0.3844","0.4087","false","true","","","",""
"C3540777","Glucocorticoids, Systemic","0.1744","11","0.0606","0.4087","false","true","","","",""
"C1275743","Co-morbid conditions","0.236","4","0.0208","0.4081","false","true","","","",""
"C0020437","Hypercalcemia","0.24","5","0.0428","0.4072","false","true","C4552843","Hypercalcemia, CTCAE","",""
"C0013956","Emergency Situation","0.1714","20","0.1852","0.4072","false","true","","","",""
"C1295176","Leptin measurement","0.1783","4","0.0066","0.4072","false","true","","","",""
"C0567533","Finding of lactation","0.3055","4","0.1094","0.4065","false","true","","","",""
"C0181364","Insulin Pens","0.3798","2","0.0432","0.4059","false","true","","","",""
"C3714578","Fix","0.2654","11","0.5616","0.4054","false","true","","","AB000fix","fix"
"C0274281","Injury due to exposure to external cause","0.1864","14","0.1558","0.4051","false","true","","","",""
"C1254351","Pharmacologic Substance","0.238","13","0.5382","0.405","false","true","","","",""
"C0687129","Encounter due to vagabond status","0.2104","15","0.3558","0.4049","false","true","","","AB00hobo","hobo"
"C0857121","Hypertensive (finding)","0.3627","4","0.21","0.4049","false","true","","","",""
"C1261429","Random blood glucose level result","0.244","3","0.0146","0.4034","false","true","","","",""
"C3828954","Most of the time","0.2757","7","0.2034","0.4033","false","true","","","",""
"C1440677","Hemoglobin A1","0.2284","3","0.0092","0.4024","false","true","","","AB00hb a","hb a"
"C0991568","Drops - Drug Form","0.313","5","0.2936","0.4015","false","true","","","AB00drop; AB000gtt","drop; gtt"
"C0720099","Duration brand of oxymetazoline","0.2019","24","0.723","0.4013","false","true","","","",""
"C0020621","Hypokalemia","0.2626","6","0.0992","0.4008","false","true","C4553966","Hypokalemia, CTCAE","",""
"C0728475","Ultra","0.4262","2","0.0848","0.3989","false","true","","","",""
"C0038187","Starvation","0.2038","4","0.0096","0.3983","false","true","","","",""
"C2976467","EPO protein, human","0.1992","4","0.0172","0.3972","false","true","","","AB000epo","epo"
"C0009806","Constipation","0.3003","8","0.7056","0.3966","false","true","C1559282; C1963087; C0729262; C0237326","Grade 1 Constipation, CTCAE; Constipation, CTCAE; Slow transit constipation; Dyschezia","",""
"C0022634","Ketones","0.2017","17","0.437","0.3956","false","true","","","",""
"C0013473","Eating Disorders","0.2642","5","0.0956","0.3949","false","true","C0003125; C0006370; C0596170","Anorexia Nervosa; Bulimia; Binge eating disorder","",""
"C3841297","Cesarean","0.2829","3","0.0346","0.3947","false","true","","","",""
"C0311277","Obesity, Abdominal","0.2663","3","0.0246","0.3943","false","true","","","",""
"C0871754","Frail","0.2606","4","0.058","0.3937","false","true","","","",""
"C3539969","Specific immunoglobulin combinations","0.1915","5","0.0226","0.3929","false","true","","","",""
"C2240399","Encounter for body mass index [BMI]","0.1939","21","0.4764","0.3928","false","true","","","",""
"C3712803","IGF1 protein, human","0.2227","4","0.023","0.3926","false","true","","","AB00igf1; AB000mgf","igf1; mgf"
"C0358514","Diagnostic agents","0.1939","24","0.6804","0.3924","false","true","","","",""
"C5202937","International Prognostic Index High Risk Group","0.2238","15","0.6426","0.3921","false","true","","","",""
"C0010340","Critical Illness","0.2304","6","0.089","0.3909","false","true","","","",""
"C0020224","Polyhydramnios","0.2735","2","0.006","0.3906","false","true","","","",""
"C0001962","Ethanol","0.2623","12","0.7962","0.3905","false","true","C0001948","Alcohol consumption","AB00etoh","etoh"
"C0042798","Low Vision","0.2443","6","0.106","0.3905","false","true","C1456582; C3665347; C4553853","Vision Impairment and Blindness; Visual Impairment; Vision Decreased, CTCAE","",""
"C0595310","Blood glucose testing kit","0.1843","5","0.0224","0.3903","false","true","","","",""
"C2703060","elevated random blood glucose level","0.3044","2","0.013","0.3895","false","true","","","",""
"C3887638","Failure to thrive in infant","0.3642","2","0.0354","0.3886","false","true","","","",""
"C0010294","Creatinine","0.2672","11","0.7534","0.3875","false","true","C0201976; C1318439","Creatinine measurement, serum (procedure); Urine creatinine measurement","",""
"C0232461","Increased appetite (finding)","0.1874","8","0.0736","0.3873","false","true","","","",""
"C0032861","Powder dose form","0.1871","4","0.0112","0.3873","false","true","","","AB000pwd","pwd"
"C0497247","Increase in blood pressure","0.3033","6","0.2756","0.3871","false","true","C0020538","Hypertensive disease","",""
"C0022116","Ischemia","0.3188","5","0.3108","0.3869","false","true","","","",""
"C0007787","Transient Ischemic Attack","0.2482","4","0.0508","0.3866","false","true","C0917805; C4554641","Transient Cerebral Ischemia; Transient Ischemic Attacks, CTCAE","AB000tia; AB00tias","tia; tias"
"C3273930","Tumor Mass","0.2893","7","0.3328","0.3864","false","true","","","",""
"C0019247","Hereditary Diseases","0.2088","6","0.0396","0.3862","false","true","C3648695","inherited genetic conditions","",""
"C0271680","Diabetic Polyneuropathies","0.3792","1","0.0104","0.3855","false","true","","","",""
"C0259836","Diet, Carbohydrate-Restricted","0.2338","3","0.0144","0.3851","false","true","","","",""
"C0259749","Autonomic neuropathy","0.2096","4","0.0152","0.3842","false","true","","","",""
"C1134488","Hormonal Change","0.2198","3","0.014","0.383","false","true","","","",""
"C3539966","insulins and analogs for injection combinations, long-acting","0.1866","5","0.0226","0.3828","false","true","","","",""
"C3540014","CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS","0.1753","7","0.0308","0.382","false","true","","","",""
"C0205161","Abnormal","0.208","18","0.7498","0.3817","false","true","","","",""
"C2239193","Controlling (action)","0.1676","18","0.1934","0.3798","false","true","","","AB0000cy","cy"
"C3539974","Insulins and analogs for injection, intermediate-acting combinations","0.185","5","0.0226","0.3796","false","true","","","",""
"C0178539","Cellular","0.2094","10","0.1658","0.3789","false","true","","","",""
"C3539963","Amide local anesthetic combinations","0.1844","5","0.0226","0.3783","false","true","","","",""
"C3714745","Malabsorption","0.4179","2","0.0428","0.3775","false","true","C0024523","Malabsorption Syndrome","",""
"C1402315","Vascular lesions","0.2273","3","0.0086","0.3771","false","true","","","",""
"C0006826","Malignant Neoplasms","0.2551","10","0.6828","0.3768","false","true","C0346957; C0347071; C0007097; C0027651; C1306459; C0442867","Disseminated Malignant Neoplasm; Malignant neoplasm of other and unspecified sites; Carcinoma; Neoplasms; Primary malignant neoplasm; malignant disease","AB0000ca","ca"
"C0030279","Pancreatectomy","0.1879","3","0.0056","0.3759","false","true","","","",""
"C3279454","Renal dysfunction","0.3994","2","0.0514","0.3756","false","true","","","",""
"C3889124","Only a Little","0.1679","28","0.5458","0.3754","false","true","","","",""
"C0232910","Teratogenesis","0.2021","3","0.0106","0.3747","false","true","","","",""
"C3539961","Platelet aggregation inhibitor combinations excl. heparin","0.1824","5","0.0226","0.3743","false","true","","","",""
"C0304812","Pituitary hormone preparation","0.176","10","0.0682","0.3732","false","true","","","",""
"C2132198","Abnormal blistering of the skin","0.2369","5","0.0942","0.3732","false","true","C0241054; C0005758; C0333262","Skin bulla; Bulla; Vesicle (morphologic abnormality)","",""
"C3841811","Transplant","0.2694","4","0.0968","0.3732","false","true","","","",""
"C0242656","Disease Progression","0.2351","5","0.071","0.3723","false","true","C4552808","Disease Progression, CTCAE","",""
"C5400714","ALPHA (substance)","0.1771","14","0.158","0.3723","false","true","","","",""
"C1623040","Breastfeeding (mother)","0.2562","8","0.4268","0.3719","false","true","","","",""
"C0566690","Vaginal delivery (finding)","0.214","6","0.071","0.3705","false","true","C2114516","previous vaginal delivery (history)","",""
"C3241937","Nonalcoholic Steatohepatitis","0.2244","3","0.0078","0.3704","false","true","C4529962","Fatty Liver Disease","",""
"C0030548","Parenteral Nutrition, Total","0.1858","4","0.0164","0.3704","false","true","C0242739; C0204706; C2064719","Nutritional Support; Parenteral alimentation procedure; infusion of total parenteral nutrition","AB000tpn","tpn"
"C0441516","Demand (clinical)","0.2137","9","0.1908","0.3701","false","true","","","",""
"C0338656","Impaired cognition","0.2154","7","0.1304","0.3695","false","true","C1270972; C0683322; C4553384","Mild cognitive disorder; Mental impairment; Cognitive Disturbance, CTCAE 5.0","",""
"C4050568","High Risk Acute Leukemia","0.2108","15","0.6426","0.3694","false","true","","","",""
"C0020625","Hyponatremia","0.2424","6","0.0982","0.3694","false","true","C4553967","Hyponatremia, CTCAE","",""
"C0559473","maternal history","0.181","4","0.0096","0.3689","false","true","","","",""
"C0041349","Nephritis, Tubulointerstitial","0.2209","3","0.0106","0.3687","false","true","C0027707","Nephritis, Interstitial","",""
"C0037274","Dermatologic disorders","0.2508","7","0.278","0.3687","false","true","C0178298; C0037268","Skin and subcutaneous tissue disorders; Skin Abnormalities","",""
"C3490348","empagliflozin","0.1849","4","0.011","0.3683","false","true","","","",""
"C2586211","Thrombosis of blood vessel","0.4289","3","0.1804","0.3679","false","true","","","",""
"C3540722","Beta-lactamase sensitive penicillin combinations","0.1793","5","0.0226","0.3678","false","true","","","",""
"C0234428","Disturbance of consciousness","0.2232","3","0.0074","0.3649","false","true","","","",""
"C0016286","Fluid Therapy","0.2059","17","0.6912","0.3647","false","true","","","",""
"C0557061","Discussion (procedure)","0.2062","9","0.1688","0.3643","false","true","","","",""
"C3540719","Intermediate-acting sulfonamide combinations","0.1775","5","0.0226","0.3642","false","true","","","",""
"C0268731","Renal glomerular disease","0.211","3","0.0084","0.3641","false","true","","","",""
"C1321605","Compliance behavior","0.2872","6","0.3548","0.364","false","true","","","",""
"C1857276","Trichohepatoenteric Syndrome","0.1872","4","0.0122","0.3636","false","true","","","",""
"C3899675","Childhood Bladder Carcinoma","0.2809","3","0.0544","0.3634","false","true","","","",""
"C0002395","Alzheimer's Disease","0.2064","5","0.0692","0.3631","false","true","","","AB0000ad; AB000dat; AB00dats; AB00sdat","ad; dat; dats; sdat"
"C0030940","Peptide Hydrolases","0.2419","3","0.0154","0.3629","false","true","","","",""
"C3714756","Intellectual Disability","0.3368","2","0.019","0.3628","false","true","C0025362; C0917816; C1330966","Mental Retardation; Mental deficiency; Developmental Academic Disability","",""
"C0015967","Fever","0.2845","8","0.7828","0.3628","false","true","C4552740","Fever, CTCAE","",""
"C0813154","Antibodies, in vitro diagnostic","0.1689","20","0.2936","0.362","false","true","","","",""
"C0010594","Cyclosporins","0.1829","6","0.0398","0.3611","false","true","","","",""
"C3539965","Local hemostatic combinations","0.176","5","0.0226","0.3611","false","true","","","",""
"C1456863","Pathologic vasoconstriction","0.2025","4","0.0156","0.361","false","true","","","",""
"C3539967","Insulins and analogs for injection, intermediate-acting combined with fast-acting- combinations","0.1758","5","0.0226","0.3608","false","true","","","",""
"C3540031","gonadotropin combinations","0.1758","5","0.0226","0.3608","false","true","","","",""
"C0459424","Abnormal result","0.2321","4","0.0548","0.3605","false","true","","","",""
"C2825032","Withdrawal (dysfunction)","0.4631","2","0.237","0.3595","false","true","","","",""
"C0018995","Hemochromatosis","0.211","4","0.032","0.3586","false","true","C0392514","Hereditary hemochromatosis","",""
"C0544452","Disease remission","0.2115","9","0.2244","0.3581","false","true","","","",""
"C0430533","Dental diagnostic procedure","0.1767","24","0.6804","0.3577","false","true","","","",""
"C0003241","Antibodies","0.1757","20","0.4004","0.3577","false","true","","","AB0000ab","ab"
"C0424755","Fever symptoms (finding)","0.2773","8","0.7258","0.3575","false","true","","","",""
"C3639994","Discordance","0.3056","2","0.0222","0.3575","false","true","","","",""
"C0009488","Comorbidity","0.1812","13","0.203","0.3574","false","true","","","",""
"C4522255","Pooled Blood Products","0.1684","5","0.0178","0.357","false","true","","","",""
"C3263722","Traumatic AND/OR non-traumatic injury","0.2529","9","0.6114","0.3568","false","true","","","",""
"C3540026","Hepatitis vaccine combinations","0.1734","5","0.0226","0.3558","false","true","","","",""
"C0018772","Hearing Loss, Partial","0.2726","6","0.305","0.3556","false","true","","","",""
"C0201975","Creatinine measurement","0.2459","11","0.776","0.3551","false","true","","","AB0000cr","cr"
"C3539956","Magnesium antacid compound combinations","0.1727","5","0.0226","0.3544","false","true","","","",""
"C0452415","Diet, Healthy","0.1894","13","0.279","0.3534","false","true","","","",""
"C0042769","Virus Diseases","0.2297","9","0.415","0.3532","false","true","C0348226","Other specified viral diseases","",""
"C4551560","Truncal obesity","0.3492","2","0.0346","0.3531","false","true","","","",""
"C3887873","Hearing Loss","0.376","3","0.2352","0.353","false","true","C1384666","hearing impairment","",""
"C0030554","Paresthesia","0.2004","14","0.5952","0.353","false","true","C4553220; C0235046","Paresthesia, CTCAE; Paraesthesia skin","",""
"C1551035","Newborn Encounter Admission Source","0.2779","3","0.0548","0.353","false","true","","","",""
"C0404521","Infective vaginitis","0.2326","2","0.0128","0.3525","false","true","C4553755","Vaginal Infection, CTCAE","",""
"C0028756","Morbid obesity","0.3033","3","0.092","0.3522","false","true","","","",""
"C0541813","Kussmaul's respiration","0.2601","2","0.014","0.3522","false","true","","","",""
"C0589120","Follow-up status","0.189","21","0.9536","0.3516","false","true","","","",""
"C0722754","Prenatal brand of multivitamin","0.1901","7","0.073","0.3516","false","true","","","",""
"C3539979","Antiinfective irrigating solution combinations","0.1712","5","0.0226","0.3512","false","true","","","",""
"C1704258","Abnormality","0.2288","10","0.5792","0.3512","false","true","","","",""
"C0268000","Body fluid retention","0.2239","5","0.0628","0.3511","false","true","C0013604","Edema","",""
"C0021294","Infant, Premature","0.176","4","0.0104","0.3509","false","true","C0728731; C0233315","Prematurity of fetus; Premature birth of newborn","",""
"C0701159","Patient in hospital","0.1942","13","0.381","0.3505","false","true","","","",""
"C3539181","Short-acting sulfonamide combinations","0.1707","5","0.0226","0.3503","false","true","","","",""
"C0201874","Amino acids measurement","0.1694","5","0.0158","0.3497","false","true","","","AB0000aa","aa"
"C0027627","Neoplasm Metastasis","0.1824","12","0.1884","0.3493","false","true","","","",""
"C0743165","dialysis chronic","0.245","2","0.0052","0.3491","false","true","","","",""
"C2243091","regular exercise (therapy)","0.2139","10","0.2674","0.3488","false","true","","","",""
"C3539978","expectorant combinations excluding combinations with cough suppressants","0.1695","5","0.0226","0.3479","false","true","","","",""
"C0033554","Prostaglandins","0.1951","3","0.0064","0.3475","false","true","","","AB0000pg","pg"
"C0014822","Erythropoietin","0.1754","4","0.018","0.3467","false","true","C2917382","Erythropoiesis-stimulating Agent [EPC]","AB00ecsf; AB000epo; AB00epos","ecsf; epo; epos"
"C1861101","THYROID HORMONE PLASMA MEMBRANE TRANSPORT DEFECT","0.1791","17","0.394","0.3466","false","true","","","",""
"C3539968","Enema combinations","0.1685","5","0.0226","0.3457","false","true","","","",""
"C0002170","Alopecia","0.3","4","0.2172","0.3457","false","true","C1559115; C1559116","Alopecia, CTCAE; Grade 1 Alopecia, CTCAE","AB00bald","bald"
"C0270327","Bedwetting","0.1742","7","0.0456","0.3451","false","true","C0014394","Enuresis","",""
"C0032821","Potassium","0.2599","8","0.732","0.3439","false","true","","","",""
"C0036974","Shock","0.2459","6","0.1474","0.3436","false","true","","","",""
"C3539964","local opthalmologic anesthetic combinations","0.1668","5","0.0226","0.3423","false","true","","","",""
"C0149521","Pancreatitis, Chronic","0.205","4","0.0196","0.3422","false","true","","","",""
"C4036058","Too high","0.1886","8","0.1194","0.3412","false","true","","","",""
"C3539972","Combination solutions for parenteral nutrition","0.1663","5","0.0226","0.3412","false","true","","","",""
"C3539959","Long-acting sulfonamide combinations","0.1662","5","0.0226","0.3411","false","true","","","",""
"C0041667","Underweight","0.1914","6","0.045","0.3409","false","true","C1262477","Weight decreased","",""
"C0011053","Deafness","0.2599","6","0.2956","0.3408","false","true","C1384666","hearing impairment","",""
"C0027498","Nausea and vomiting","0.2171","10","0.4544","0.3404","false","true","C0042963","Vomiting","",""
"C0011265","Presenile dementia","0.1794","9","0.1358","0.3403","false","true","","","",""
"C0037315","Sleep Apnea Syndromes","0.3487","3","0.2426","0.3399","false","true","C4551689; C4555214","Sleep-Disordered Breathing; Sleep Apnea, CTCAE","",""
"C0031765","Phototherapy","0.1715","6","0.0306","0.3388","false","true","C0041626","Ultraviolet Therapy","",""
"C0002895","Anemia, Sickle Cell","0.2217","4","0.0342","0.3383","false","true","","","AB000scd; AB00scds","scd; scds"
"C0600688","Toxic effect","0.1811","11","0.1892","0.3383","false","true","C0032343","Poisoning","AB000tox","tox"
"C4761546","CASCADE (pharmacologic substance)","0.2097","3","0.0144","0.3381","false","true","","","",""
"C0589402","Lack of awareness finding","0.2107","2","0.0054","0.3379","false","true","C0041657","Unconscious State","",""
"C0024467","Magnesium","0.2845","6","0.4714","0.3379","false","true","","","AB0000mg; AB000mgs","mg; mgs"
"C0006950","Carbamazepine measurement","0.189","5","0.0306","0.3364","false","true","","","",""
"C0036421","Systemic Scleroderma","0.2388","3","0.0414","0.3357","false","true","C0011644","Scleroderma","AB000pss","pss"
"C0392514","Hereditary hemochromatosis","0.1946","3","0.0066","0.3353","false","true","C0018995","Hemochromatosis","AB0000hh","hh"
"C1335499","Progressive Disease","0.2436","4","0.08","0.3349","false","true","","","AB0000pd","pd"
"C0040160","Thyrotropin","0.2069","6","0.087","0.3333","false","true","C0040162; C0202230; C2825077","Thyrotropin-Releasing Hormone; Thyroid stimulating hormone measurement; Thyroid Stimulating Hormone [EPC]","AB000tsh","tsh"
"C0018681","Headache","0.2278","11","0.7254","0.3333","false","true","C4553197; C4685181; C4686248; C4688533","Headache, CTCAE; Grade 1 Headache, CTCAE; Grade 3 Headache, CTCAE; Grade 2 Headache, CTCAE","AB0000ha","ha"
"C1135241","Weeks pregnant","0.2158","5","0.0732","0.3326","false","true","","","",""
"C0162316","Iron deficiency anemia","0.2538","4","0.1332","0.3323","false","true","C0008272","Asiderotic anemia","",""
"C1384666","hearing impairment","0.2762","5","0.4372","0.3313","false","true","C1456552; C0011053; C0339789; C3887873; C4552850; C2029884","Hearing Disorders and Deafness; Deafness; Congenital deafness; Hearing Loss; Hearing Impaired, CTCAE; hearing loss by exam","",""
"C0027707","Nephritis, Interstitial","0.2536","2","0.0106","0.3303","false","true","C0041349","Nephritis, Tubulointerstitial","",""
"C0202025","Fructosamine measurement","0.2059","2","0.0054","0.3303","false","true","C0428529","Fructosamine level","",""
"C4285871","Vitamin D low","0.3266","2","0.0676","0.3291","false","true","C0042870","Vitamin D Deficiency","",""
"C1541822","Vaginal delivery procedure","0.1895","6","0.0702","0.3287","false","true","","","",""
"C3843057","Second half","0.2579","2","0.011","0.3281","false","true","","","",""
"C0400966","Non-alcoholic Fatty Liver Disease","0.2247","3","0.0238","0.3271","false","true","C4529962","Fatty Liver Disease","",""
"C3854333","Narrowing","0.3411","3","0.413","0.3267","false","true","","","",""
"C4724568","Lose weight","0.2244","6","0.2158","0.3262","false","true","","","",""
"C3825243","Blood sugar monitoring","0.2473","2","0.0086","0.326","false","true","","","",""
"C0002871","Anemia","0.3196","4","0.4226","0.3253","false","true","C4554633; C4686069; C4686619","Anemia, CTCAE; Grade 3 Anemia, CTCAE; Grade 4 Anemia, CTCAE","",""
"C0442743","Noninflammatory","0.2133","2","0.008","0.3253","false","true","","","",""
"C0023380","Lethargy","0.2582","5","0.1852","0.3242","false","true","C4552903","Lethargy, CTCAE","",""
"C1559265","Adverse Event Associated with the Gastrointestinal System","0.2067","13","0.7636","0.324","false","true","","","",""
"C0006114","Cerebral Edema","0.2175","3","0.0172","0.324","false","true","C4553959","Edema Cerebral, CTCAE","",""
"C2024883","cardiovascular surgery result: angina","0.24","5","0.156","0.3235","false","true","","","",""
"C0012833","Dizziness","0.3091","5","0.7054","0.3233","false","true","C4553830; C0042571; C0220870; C0234750; C0392701","Dizziness, CTCAE 5.0; Vertigo; Lightheadedness; Objective vertigo; giddy mood","",""
"C3272281","American College of Cardiology/American Heart Association Lesion Complexity Score A","0.2622","5","0.3648","0.3225","false","true","","","",""
"C0021141","Inappropriate ADH Syndrome","0.18","5","0.027","0.3217","false","true","","","",""
"C0001125","Acidosis, Lactic","0.2358","3","0.0364","0.3216","false","true","C0347959","Lactic acidemia","",""
"C0000737","Abdominal Pain","0.2726","6","0.654","0.3216","false","true","C4554323; C4685488; C4686046","Abdominal Pain, CTCAE 5; Grade 2 Abdominal Pain, CTCAE; Grade 3 Abdominal Pain, CTCAE","",""
"C3495801","Granulomatosis with polyangiitis","0.3375","2","0.0474","0.3211","false","true","","","AB000gpa","gpa"
"C0439663","Infected","0.2335","6","0.2534","0.3202","false","true","","","",""
"C0037278","Skin Diseases, Infectious","0.1978","4","0.047","0.3195","false","true","C4552736; C1260874","Skin Infection, CTCAE; Infective dermatitis","",""
"C0853174","Blood sodium","0.1772","3","0.0076","0.3193","false","true","","","",""
"C0027651","Neoplasms","0.1773","16","0.4906","0.3192","false","true","C0006826; C0474796","Malignant Neoplasms; Neoplasm by Morphology","",""
"C0920298","Weight maintenance regimen","0.1912","6","0.121","0.3191","false","true","","","",""
"C0555973","Infection of foot","0.2193","2","0.0082","0.3181","false","true","","","",""
"C3819139","Take Action","0.3496","1","0.0064","0.318","false","true","","","",""
"C0021440","Intravenous infusion procedures","0.2015","8","0.2074","0.3178","false","true","C1272892","Intravenous infusion (product)","AB0000iv","iv"
"C3540726","Corticosteroid ophthalmologic and otologic preparations","0.1848","6","0.0704","0.3176","false","true","","","",""
"C4050407","Pauci-immune Glomerulonephritis associated with Granulomatosis with Polyangiitis","0.33","2","0.045","0.3172","false","true","","","",""
"C3842480","More than 50","0.2355","6","0.2666","0.317","false","true","","","",""
"C0028734","Nocturia","0.194","10","0.2822","0.3168","false","true","","","",""
"C0028778","Obstruction","0.2268","9","0.6028","0.3151","false","true","C0332882","congenital obstruction","",""
"C0017923","Glycogen Storage Disease Type IV","0.2076","2","0.0052","0.3148","false","true","","","AB00gsd4","gsd4"
"C0686744","Well child","0.1694","4","0.0168","0.3148","false","true","","","",""
"C0260925","Encounter for screening for diabetes mellitus","0.1866","3","0.018","0.3148","false","true","","","",""
"C1960832","Partitioning of stomach using band","0.213","2","0.0108","0.3138","false","true","C1456587","Bariatric Surgery","AB000bnd","bnd"
"C2315100","Pediatric failure to thrive","0.2935","2","0.0354","0.3131","false","true","C0231246","Failure to gain weight","",""
"C5192202","Tingling pain","0.2118","3","0.0332","0.3128","false","true","","","",""
"C0220806","Chemicals","0.1771","6","0.0652","0.3127","false","true","","","",""
"C0002878","Anemia, Hemolytic","0.218","2","0.0114","0.312","false","true","","","",""
"C0037369","Smoking","0.2464","7","0.6452","0.3118","false","true","C0337666; C0453996; C0700219","Cigar smoker; Tobacco smoking behavior; Cigarette smoking behavior","",""
"C0085134","Cessation of smoking","0.1899","9","0.2646","0.3116","false","true","","","",""
"C3714503","Vitamin D Drug Class","0.2574","6","0.5358","0.3101","false","true","","","",""
"C0013832","Electrolytes","0.1929","12","0.4692","0.3098","false","true","C3536863","Electrolyte [EPC]","",""
"C0740230","Triad","0.1833","3","0.0074","0.3097","false","true","","","",""
"C0025611","Methamphetamine","0.1837","4","0.0238","0.3093","false","true","","","AB000ice; AB00meth; AB00tina","ice; meth; tina"
